ID,score
0,47.87966
1,57.57903
2,92.92891
3,76.22636
4,62.965332
5,53.028362
6,82.639366
7,64.78236
8,83.55937
9,76.37135
10,66.50195
11,56.42847
12,76.803276
13,61.061893
14,38.88712
15,76.73205
16,45.60484
17,64.00724
18,57.444645
19,63.107204
20,63.527992
21,60.234596
22,68.118935
23,65.2546
24,59.28116
25,62.767635
26,63.342316
27,75.90471
28,71.65463
29,62.406113
30,62.874153
31,72.75934
32,73.62743
33,58.92522
34,78.90805
35,55.41401
36,59.834167
37,70.15149
38,54.948383
39,82.36849
40,77.0028
41,52.633358
42,49.58952
43,69.94895
44,69.236206
45,61.423424
46,67.86613
47,66.328026
48,50.046215
49,51.737537
50,51.14759
51,57.68276
52,68.52454
53,66.92191
54,56.964035
55,67.158485
56,76.534996
57,55.299286
58,65.87747
59,58.875065
60,81.49944
61,38.47699
62,82.66325
63,81.361404
64,51.571476
65,72.72536
66,74.55462
67,60.973644
68,70.00147
69,70.10231
70,73.556435
71,66.49821
72,77.8033
73,82.756424
74,56.472534
75,61.77754
76,59.55859
77,65.22584
78,53.857094
79,52.670185
80,58.137882
81,55.125732
82,71.57865
83,64.02759
84,46.965096
85,61.382423
86,66.15715
87,80.897354
88,57.176548
89,81.90568
90,56.71195
91,75.54298
92,76.62539
93,47.16574
94,75.36337
95,71.775696
96,55.965656
97,64.46512
98,58.95394
99,60.97055
100,69.824005
101,66.25557
102,80.15443
103,58.947628
104,62.333908
105,52.323936
106,39.235016
107,77.1455
108,54.934887
109,46.07053
110,62.716133
111,64.46714
112,59.301586
113,59.331905
114,67.02713
115,58.5521
116,61.519417
117,60.205914
118,77.06525
119,44.05668
120,49.318714
121,56.75528
122,61.342087
123,59.024673
124,56.728
125,65.80931
126,69.48816
127,98.850624
128,71.41584
129,67.11409
130,52.080116
131,73.48486
132,68.12528
133,76.10325
134,42.342003
135,77.29151
136,56.360035
137,62.50766
138,99.516975
139,49.84963
140,60.102997
141,65.518394
142,80.463295
143,82.5538
144,39.0965
145,62.061405
146,81.64637
147,88.41185
148,75.09375
149,60.323498
150,61.66491
151,73.62881
152,48.694824
153,73.84363
154,66.96045
155,57.07334
156,61.13937
157,67.05915
158,86.435265
159,56.875374
160,76.92427
161,57.99222
162,90.5277
163,57.922844
164,64.92061
165,86.32513
166,57.383015
167,58.503235
168,30.434454
169,46.82212
170,75.81078
171,43.104385
172,58.441994
173,75.211365
174,65.117676
175,78.676704
176,55.339428
177,54.4546
178,100.39279
179,49.899033
180,69.1077
181,78.992226
182,62.613033
183,73.44774
184,59.065937
185,51.822643
186,48.436325
187,70.92423
188,66.08437
189,65.36118
190,65.97639
191,42.62142
192,88.37169
193,58.09122
194,60.731136
195,37.012608
196,51.464947
197,74.45129
198,72.895325
199,73.644264
200,62.7059
201,61.90851
202,81.259056
203,84.322075
204,67.71693
205,42.58335
206,87.031105
207,47.35753
208,79.57387
209,71.80284
210,65.065445
211,75.995384
212,60.84709
213,64.61569
214,69.93523
215,56.07921
216,50.85279
217,55.90141
218,64.95861
219,82.66787
220,45.799057
221,65.72497
222,54.974075
223,74.2598
224,68.99619
225,58.44168
226,72.12603
227,56.61179
228,75.8848
229,68.62633
230,73.54117
231,44.42747
232,86.66155
233,79.873245
234,87.49049
235,71.90474
236,77.022865
237,64.39196
238,50.884624
239,71.426895
240,39.17762
241,77.846436
242,46.489162
243,69.52442
244,76.75316
245,55.631317
246,63.979877
247,59.277214
248,60.056446
249,61.646877
250,88.80906
251,62.492496
252,58.85937
253,82.79017
254,59.86878
255,57.023136
256,68.62963
257,63.326397
258,64.95885
259,54.14971
260,63.45548
261,48.223087
262,77.69695
263,78.33026
264,61.87037
265,37.933594
266,45.845985
267,63.188446
268,57.02208
269,45.53261
270,47.36222
271,56.08233
272,40.77578
273,58.23349
274,71.564514
275,53.36568
276,70.90524
277,67.41231
278,47.871365
279,65.963264
280,55.635696
281,66.51913
282,67.26909
283,50.5743
284,71.48589
285,48.758533
286,54.974644
287,75.04061
288,54.023335
289,61.369923
290,74.5971
291,79.03643
292,74.08353
293,51.287983
294,74.89448
295,68.38559
296,72.49048
297,81.96863
298,69.64518
299,43.585938
300,53.0856
301,56.048576
302,63.387146
303,73.74602
304,72.547714
305,66.278854
306,57.078793
307,46.593407
308,43.64327
309,80.073494
310,59.99688
311,54.52802
312,53.82435
